"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03453164","Checkpoint Inhibitor and Radiotherapy for Recurrent Gastric Cancer (CIRCUIT)",,"Recruiting","No Results Available","Gastric Cancer","Radiation: Radiotherapy + Nivolumab","Disease control rate|Median survival time|Incidence of treatment-emergent adverse events|Local control rate|Expression of PD-L1 and MHC class I on tumor cells, number of CD8 positive lymphocytes in tumor microenvironment|Peak plasma cytokine concentration|Peak regulatory T-cell population|Peak antigen-specific cytotoxic T lymphocyte population","Fukushima Medical University|Kanagawa Cancer Center","All","20 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RK29040","March 28, 2018","August 31, 2020","February 28, 2021","March 5, 2018",,"January 18, 2020","Fukushima Medical University Hospital, Fukushima, Japan","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/64/NCT03453164/SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03453164"
12,"NCT03612791","Trial Assessing the Inhibitor of Programmed Cell Death Ligand 1 (PD-L1) Immune Checkpoint Atezolizumab","ATEZOLACC","Recruiting","No Results Available","Locally Advanced Cervical Cancer","Drug: Atezolizumab|Radiation: Radiotherapy|Drug: Cisplatin","Progression Free Survival (PFS)","Gustave Roussy, Cancer Campus, Grand Paris","Female","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","190","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-003622-33|2017/2608","July 2, 2018","July 2020","July 2022","August 2, 2018",,"August 2, 2018","Gustave Roussy, Villejuif, Val De Marne, France",,"https://ClinicalTrials.gov/show/NCT03612791"
13,"NCT03511391","CHEckpoint Inhibition in Combination With an Immunoboost of External Body Radiotherapy in Solid Tumors","CHEERS","Recruiting","No Results Available","Urothelial Carcinoma|Melanoma|Renal Cell Carcinoma|Non-small Cell Lung Cancer|Head and Neck Cancer","Drug: Pembrolizumab or Nivolumab|Radiation: SBRT","Progression-free survival|Overall survival|Tumor response as per RECIST|Tumor response as per iRECIST|Incidence of Treatment-Related Adverse Events [safety and tolerability]","University Hospital, Ghent|GZA Ziekenhuizen Campus Sint-Augustinus|AZ Sint-Lucas Brugge","All","18 Years and older   (Adult, Older Adult)","Phase 2","97","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EC2017/1678","March 9, 2018","February 14, 2022","August 14, 2022","April 27, 2018",,"May 8, 2018","AZ Sint-Lucas, Brugge, West-Vlaanderen, Belgium|GasthuisZusters Antwerpen, Antwerp, Belgium|University Hospital Ghent, Ghent, Belgium",,"https://ClinicalTrials.gov/show/NCT03511391"
14,"NCT04214418","Study of Combination Therapy With the MEK Inhibitor, Cobimetinib, Immune Checkpoint Blockade, Atezolizumab, and the AUTOphagy Inhibitor, Hydroxychloroquine in KRAS-mutated Advanced Malignancies","MEKiAUTO","Not yet recruiting","No Results Available","Gastrointestinal Cancer","Drug: Cobimetinib|Drug: Hydroxychloroquine|Drug: Atezolizumab","Phase 1: Estimated maximum tolerated dose (MTD)|Phase 1: Incidence of Treatment-Emergent Adverse Events with drug combination (Safety and Tolerability)","Columbia University|Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","175","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AAAS4165|ML41472","March 2020","September 2022","September 2023","January 2, 2020",,"March 2, 2020","Columbia University Irving Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04214418"
15,"NCT02467361","A Study of BBI608 Administered in Combination With Immune Checkpoint Inhibitors in Adult Patients With Advanced Cancers",,"Active, not recruiting","No Results Available","Cancer","Drug: BBI608|Drug: Ipilimumab|Drug: Nivolumab|Drug: Pembrolizumab","Determination of the safety and tolerability of BBI608 administered in combination with selected immunotherapeutic agent by assessing dose-limiting toxicities (DLTs)|Determination of the Recommended Phase 2 Dose (RP2D) by assessing dose-limiting toxicities (DLTs)|Assessment of the preliminary anti-tumor activity by performing tumor assessments every 8 weeks (Phase 2 portion)|Pharmacokinetic profile of BBI608 administered in combination with the selected immunotherapeutic agent as assessed by maximum plasma concentration and area under the curve|Pharmacodynamic activity of BBI608 administered in combination with the selected immunotherapeutic agent as assessed by biomarker analysis","Boston Biomedical, Inc","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","104","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BBI608-201CIT","August 2015","June 2020","July 2020","June 10, 2015",,"January 21, 2020","University of Colorado Cancer Center, Denver, Colorado, United States|Emory University Winship Cancer Institute, Atlanta, Georgia, United States|University of Chicago Medicine Comprehensive Cancer Center, Chicago, Illinois, United States|Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Weill Cornell Medical College, New York, New York, United States|Institute for Translational Oncology Research, Greenville, South Carolina, United States|MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02467361"
16,"NCT03311334","A Study of DSP-7888 Dosing Emulsion in Combination With Immune Checkpoint Inhibitors in Adult Patients With Advanced Solid Tumors",,"Recruiting","No Results Available","Neoplasms|Melanoma|Non Small Cell Lung Cancer (NSCLC)|Head and Neck Squamous Cell Carcinoma (HNSCC)|Renal Cell Carcinoma (RCC)|Urothelial Neoplasm|Hepatocellular Carcinoma (HCC)|Microsatellite Instability-high or Mismatch Repair Deficient (MSI-H/dMMR)|Colorectal Cancer|Gastroesophageal Junction Adenocarcinoma|Gastric Cancer|Cervical Cancer|Primary Peritoneal Cancer|Platinum-resistant Ovarian Cancer (PROC)|Serous Epithelial Ovarian Cancer|Fallopian Tube Cancer","Drug: DSP-7888 Dosing Emulsion|Drug: Nivolumab|Drug: Pembrolizumab","Phase Ib: Determination of the safety and tolerability of DSP-7888 Dosing Emulsion given intradermally with a checkpoint inhibitor (Nivolumab or Pembrolizumab) in adult patients with advanced solid tumors by assessing dose-limiting toxicities (DLTs).|Phase Ib: Determination of the Recommended Phase 2 Dose (RP2D) by assessing dose-limiting toxicities (DLTs).|Phase II: Evaluation of the preliminary antitumor activity of DSP-7888 Dosing Emulsion administered with pembrolizumab in terms of Objective Response Rate (ORR) in patients with platinum-resistant ovarian cancer (PROC).|Phase Ib: Objective response rate (ORR)|Phase Ib: Disease control rate (DCR)|Phase Ib: Duration of response (DOR)|Phase Ib: Progression-free survival (PFS)|Phase Ib: 6-month PFS|Phase Ib: Overall survival (OS)|Phase II: DOR|Phase II: DCR|Phase II: PFS|Phase II: 6 month PFS|Phase II: OS|Phase II: Immune objective response rate (iORR)|Phase II: Immune disease control rate (iDCR)|Phase II: Immune progression-free survival (iPFS)|Phase II: Evaluation of the safety and tolerability of DSP-7888 Dosing Emulsion administered with pembrolizumab.","Boston Biomedical, Inc","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","84","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BBI-DSP7888-102CI","December 14, 2017","November 2021","May 2022","October 17, 2017",,"January 22, 2020","Decatur Memorial Hospital, Decatur, Illinois, United States|Horizon Oncology Research, Lafayette, Indiana, United States|St Vincent Frontier Cancer Center, Billings, Montana, United States|UC Health, LLC, Cincinnati, Ohio, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03311334"
17,"NCT03173950","Immune Checkpoint Inhibitor Nivolumab in People With Select Rare CNS Cancers",,"Recruiting","No Results Available","Medulloblastoma|Ependymoma|Pineal RegionTumors|Choroid Plexus Tumors|Atypical/Malignant Meningioma","Drug: Nivolumab","objective response|progression free survival rate","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 2","180","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","170102|17-C-0102","July 13, 2017","December 31, 2022","December 1, 2024","June 2, 2017",,"April 20, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03173950"
18,"NCT03775850","A Study of EDP1503 in Patients With Colorectal Cancer, Breast Cancer, and Checkpoint Inhibitor Relapsed Tumors",,"Recruiting","No Results Available","Colorectal Cancer Metastatic|Triple Negative Breast Cancer|Non Small Cell Lung Cancer|Bladder Cancer|GastroEsophageal Cancer|Renal Cell Carcinoma|MSI-H","Biological: EDP1503|Biological: Pembrolizumab","Safety and tolerability of EDP1503 alone and in combination with pembrolizumab as assessed per CTCAE v5.0|Safety and tolerability of EDP1503 alone and in combination with pembrolizumab|Evidence of anti-tumor activity of EDP1503 based on ORR|Progression Free Survival|Overall Survival","Evelo Biosciences, Inc.|SCRI Development Innovations, LLC|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","120","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EDP1503-101","December 19, 2018","December 19, 2020","December 19, 2020","December 14, 2018",,"May 27, 2020","Highlands Oncology Group, Rogers, Arkansas, United States|Florida Cancer Specialists, Sarasota, Florida, United States|Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|Tennessee Oncology, PLLC, Chattanooga, Tennessee, United States|Tennessee Oncology, Nashville, Tennessee, United States|Centre de Recherche du CHUM, Montréal, Quebec, Canada|Jewish General Hospital, Montréal, Quebec, Canada|CHU de Québec - Université Laval, Québec, Canada",,"https://ClinicalTrials.gov/show/NCT03775850"
19,"NCT03693014","A Study of Several Radiation Doses for Patients With Progression on Immunotherapy/Checkpoint Inhibitors",,"Recruiting","No Results Available","Metastatic Cancer|Melanoma Cancer|Lung Cancer|Bladder Cancer|Renal Cancer|Head/Neck Cancers","Radiation: Stereotactic Body Radiotherapy|Biological: Ipilimumab, Nivolumab, Pembrolizumab or Atezolizumab","evaluate overall response rate (ORR)","Memorial Sloan Kettering Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-359","October 1, 2018","October 2021","October 2021","October 2, 2018",,"March 24, 2020","Memorial Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Memoral Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, United States|Memorial Sloan Kettering Commack, Commack, New York, United States|Memoral Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering Rockville Centre, Rockville Centre, New York, United States|Memorial Sloan Kettering Nassau, Uniondale, New York, United States",,"https://ClinicalTrials.gov/show/NCT03693014"
20,"NCT04327986","Immune Checkpoint Inhibitor M7824 and the Immunocytokine M9241 in Combination With Stereotactic Body Radiation Therapy (SBRT) in Adults With Advanced Pancreas Cancer",,"Not yet recruiting","No Results Available","Histologically or Cytologically Confirmed Pancreatic Cancer|Unresectable or Borderline Resectable Pancreatic Cancer|Pancreatic Neoplasms|Pancreatic Cancer|Metastatic Pancreatic Cancer","Drug: M7824|Drug: M9241|Radiation: SBRT","To determine a preliminary estimate of efficacy as best overall response (BOR) according to RECIST 1.1 of M7824 and M9241 in combination with SBRT as neoadjuvant/perioperative treatment in subjects with locally advanced pancreas cancer|To determine the safety and tolerability and the recommended phase 2 dose (RP2D) of M7824 and M9241 in combination with SBRT as neoadjuvant / perioperative treatment in subjects with pancreas cancer|To determine the PK of M7824 in combination with M9241|To assess overall survival (OS) in patients after completion of RT in combination with M9241 and M7824|To asses progression-free survival (PFS) for all participants|To asses progression-free survival (PFS) for participants who did not undergo surgical resection|To determine fraction of patients with LAPC who are able to undergo surgical resection after M7824 and M9241 in combination with SBRT treatment|For patients who underwent surgical resection after M7824 and M9241 in combination with SBRT treatment to determine time-to-recurrence of the disease|For patients who underwent surgical resection after M7824 and M9241 in combination with SBRT treatment to determine complete pathological response rate(s)","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","52","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","200074|20-C-0074","June 5, 2020","December 31, 2025","December 31, 2025","March 31, 2020",,"June 2, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04327986"
