"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
39,"NCT04180215","A Phase I/II Study of TheraT® Vector(s) Expressing Human Papillomavirus 16 Positive (HPV 16+) Specific Antigens in Patients With HPV 16+ Confirmed Cancers",,"Recruiting","No Results Available","HPV-Related Squamous Cell Carcinoma","Drug: HB-201 intravenous administration|Drug: HB-201 intratumoral administration on first cycle, followed by HB-201 intravenous administration on subsequent cycles","Recommended Phase 2 Dose (RP2D) for IV administration|Recommended Phase 2 Dose (RP2D) for IT administration|Number of patients receiving IV HB-201 experiencing treatment-emergent adverse events.|Number of patients receiving IT HB-201 experiencing treatment-emergent adverse events|Number of patients receiving IV HB-201 with tumor response throughout the study using RECIST v1.1 and/or iRECIST|Number of patients receiving IT HB-201 with tumor response throughout the study using RECIST v1.1 and/or iRECIST|Characterization of preliminary immunogenic properties of IV administration by intracellular staining and ELISpot assay.|Characterization of preliminary immunogenic properties of IT administration","Hookipa Biotech","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","100","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H-200-001|2019-000907-34","December 11, 2019","January 2022","June 2022","November 27, 2019",,"May 7, 2020","Banner MD Anderson Cancer Center, Gilbert, Arizona, United States|USC/Norris Comprehensive Cancer Center, Los Angeles, California, United States|Sylvester Comprehensive Cancer Center, Miami, Florida, United States|University of Kansas Medical Center, Fairway, Kansas, United States|Henry Ford Hospital, Detroit, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Montefiore-Einstein Center for Cancer Care, Bronx, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Providence Portland Medical Center, Portland, Oregon, United States|Greenville Hospital System University Medical Center (ITOR), Greenville, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04180215"
40,"NCT04029181","ImmunoPET With an Anti-CD8 Imaging Agent",,"Recruiting","No Results Available","Metastatic Cancer|Unresectable Malignant Neoplasm","Other: Anti-CD8 PET imaging agent","Incidence of adverse events related to tracer administration as assessed by CTCAE v4.0|Appropriate dosing of anti-CD8 imaging agent and PET imaging time points|Pharmacokinetics (PK) of anti-CD8 imaging agent|Immunogenic potential of the anti-CD8 imaging agent by measuring incidence of anti-drug antibodies|Heterogeneity of tumor uptake of the anti-CD8 imaging agent|Correlation of normal organ uptake of the anti-CD8 imaging agent to (serious) adverse events (possibly) related to immune checkpoint inhibitor treatment|Correlation of tumor uptake of the anti-CD8 imaging agent and immune cell CD8 expression|Correlation of anti-CD8 imaging agent normal tissue kinetics with blood kinetics|Dosimetry","University Medical Center Groningen","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","201700848","February 14, 2019","February 2021","February 2021","July 23, 2019",,"July 23, 2019","University Medical Center Groningen, Groningen, Netherlands",,"https://ClinicalTrials.gov/show/NCT04029181"
41,"NCT02460367","Immunotherapy Combination Study in Advanced Previously Treated Non-Small Cell Lung Cancer",,"Active, not recruiting","No Results Available","Non-small Cell Lung Cancer|Progression of Non-small Cell Lung Cancer|Non-small Cell Lung Cancer Recurrent","Drug: Docetaxel|Biological: Tergenpumatucel-L|Drug: Indoximod","Regimen Limiting Toxicity|Progression Free Survival (PFS)|Frequency and grade of adverse events of tergenpumatuucel-L, indoximod and docetaxel|Objective Response Rate|Overall Survival|Response rate to subsequent therapy","NewLink Genetics Corporation|Lumos Pharma","All","18 Years and older   (Adult, Older Adult)","Phase 1","16","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NLG0401|1504-1393","January 2016","July 17, 2017","August 1, 2032","June 2, 2015",,"May 28, 2020","Washington University in St. Louis, Saint Louis, Missouri, United States|University of Cincinnati, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02460367"
42,"NCT02777710","Evaluation of Safety and Activity of an Anti-PDL1 Antibody (DURVALUMAB) Combined With CSF-1R TKI (PEXIDARTINIB) in Patients With Metastatic/Advanced Pancreatic or Colorectal Cancers","MEDIPLEX","Completed","No Results Available","Colorectal Cancer|Pancreatic Cancer|Metastatic Cancer|Advanced Cancer","Drug: Pexidartinib|Drug: Durvalumab","part 1 (dose escalation part) : Dose-Limiting Toxicities (DLT)|part 2 (extension part) : objective response rate (ORR)|The duration of response (DoR)|Progression-Free Survival (PFS)|Adverse events reporting|Area under the Pexidartinib plasma concentration (AUC) versus time curve|Peak Pexidartinib plasma concentration (Cmax)","Centre Leon Berard|AstraZeneca|Plexxikon","All","18 Years and older   (Adult, Older Adult)","Phase 1","48","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ET15-037 (MEDIPLEX)|2015-002438-31","June 2016","November 2019","December 2019","May 19, 2016",,"February 5, 2020","Centre Léon Bérard, Lyon, France|IUCT-oncopole, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT02777710"
43,"NCT04195373","A Safety Study of TMV-018 in Patients With Tumors of the Gastrointestinal Tract",,"Not yet recruiting","No Results Available","Gastrointestinal Cancer","Biological: TMV-018 + 5-FC|Biological: TMV-018 + anti-PD-1|Biological: TMV-018 + 5-FC + anti-PD-1","Frequency of Adverse Events|Determine MTD and dose for phase II|Viral replication|Viral distribution|Efficacy of therapy assessed by RECIST 1.1|Efficacy of therapy assessed by changes in tumor marker level","Themis Bioscience GmbH|Assign Data Management and Biostatistics GmbH|SSS International Clinical Research GmbH","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","39","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMV-018-101","April 2020","December 2022","December 2024","December 11, 2019",,"December 11, 2019","University Hospital Bonn, Bonn, Germany|University Hospital Tübingen, Tübingen, Germany",,"https://ClinicalTrials.gov/show/NCT04195373"
44,"NCT03325816","Nivolumab and 177Lu-DOTA0-Tyr3-Octreotate for Patients With Extensive-Stage Small Cell Lung Cancer",,"Active, not recruiting","No Results Available","Small Cell Lung Cancer|Small Cell Lung Cancer Extensive Stage","Drug: Nivolumab|Radiation: 177Lu-DOTA0-Tyr3-Octreotate","Phase I - Recommended phase II dose (RP2D) of 177Lu-DOTA0-Tyr3-Octreotate|Phase II - Progression Free Survival|Safety profile of 177Lu-DOTA0-Tyr3-Octreotate in combination with nivolumab|Phase II - Overall survival|Phase II - Disease Control Rate|Phase II - Objective Response Rate|Phase II - Metabolic Response","Georgetown University|Bristol-Myers Squibb|Advanced Accelerator Applications","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","9","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-1081","November 20, 2017","March 28, 2019","December 2020","October 30, 2017",,"February 19, 2020","Georgetown Lombardi Comprehensive Cancer Center, Washington, District of Columbia, United States|John Theurer Cancer Center at Hackensack University Medical Center, Hackensack, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT03325816"
45,"NCT02734160","A Study of Galunisertib (LY2157299) and Durvalumab (MEDI4736) in Participants With Metastatic Pancreatic Cancer",,"Completed","No Results Available","Metastatic Pancreatic Cancer","Drug: Galunisertib|Drug: Durvalumab","Number of Participants with Galunisertib in Combination with Durvalumab Dose-Limiting Toxicities (DLTs)|Pharmacokinetics (PK): Maximum Concentration (Cmax) of Galunisertib|PK: Area Under the Curve (AUC) at Steady State of Galunisertib|PK: Minimum Concentration (Cmin) of Durvalumab|Number of Participants with Anti-Durvalumab Antibodies|Progression-free Survival (PFS)|Objective Response Rate (ORR): Percentage of Participants Achieving Complete Response (CR) or Partial Response (PR)|Duration of Response (DoR)|Disease Control Rate (DCR): Percentage of Participants With a Best Overall Response of CR, PR, and Stable Disease (SD)|Time to Response|Overall Survival (OS)","Eli Lilly and Company|AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 1","37","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15784|H9H-MC-JBEG|2015-005295-26","June 15, 2016","August 2, 2018","April 17, 2019","April 12, 2016",,"August 5, 2019","Honor Health Research Institute, Scottsdale, Arizona, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Sarah Cannon Research Institute SCRI, Nashville, Tennessee, United States|Tennessee Oncology PLLC, Nashville, Tennessee, United States|Gustave Roussy, Villejuif Cedex, France|Ospedale Policlinico Giambattista Rossi, Borgo Roma, Verona, Italy|Samsung Medical Center, Seoul, Korea, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Madrid Norte Sanchinarro, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT02734160"
46,"NCT03386526","APG-1387 in Patients With Advanced Solid Tumors or Hematologic Malignancies",,"Recruiting","No Results Available","Advanced Solid Tumors or Hematologic Malignancies","Drug: APG-1387 for Injection","Maximum Tolerated Dose (MTD)|Anti-tumor effects of APG-1387 as a single agent|Pharmacokinetic evaluation|Anti-tumor effects of APG-1387 in combination with pembrolizumab or combination with paclitaxel and carboplatin in patients with advanced solid tumors|Preliminary biomarker assessment","Ascentage Pharma Group Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","90","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APG-1387-US-001","November 21, 2017","September 11, 2020","December 11, 2020","December 29, 2017",,"May 29, 2020","START Midwest, Grand Rapids, Michigan, United States|The START Center for Cancer Care, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03386526"
47,"NCT03572478","Rucaparib and Nivolumab in Patients With Prostate or Endometrial Cancer",,"Active, not recruiting","No Results Available","Prostate Cancer|Endometrial Cancer","Drug: Rucaparib|Drug: Nivolumab","Dose limiting toxicities (DLT) rate of the combination of rucaparib and nivolumab (phase 1)|Frequency of patients with T cell inflammation in the tumor compared between treatment arms (phase 2)|Time to disease progression in prostate cancer patients (phase 2)|Time to disease progression in endometrial cancer patients (phase 2)|Response rate in prostate cancer patients (phase 2)|Response rate in endometrial cancer patients (phase 2)|Changes in number of T cells in tumor samples compared between treatment arms (phase 2)|Correlation of change in T cells in tumor samples and PTEN mutation status (phase 2)","University of Chicago|Bristol-Myers Squibb|Clovis Oncology, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","12","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB18-0154","August 14, 2018","February 29, 2020","December 2021","June 28, 2018",,"May 22, 2020","University of Chicago Medical Center, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT03572478"
48,"NCT03996473","Study to Test the Safety and How Radium-223 Dichloride an Alpha Particle-emitting Radioactive Agent Works in Combination With Pembrolizumab an Immune Checkpoint Inhibitor in Patients With Stage IV Non-small Cell Lung Cancer With Bone Metastases",,"Recruiting","No Results Available","Carcinoma, Non-Small-Cell Lung","Drug: Radium-223 dichloride (Xofigo, BAY 88-8223)|Drug: Pembrolizumab","Number of participants with adverse events (AEs) in Phase 1|Number of participants with dose limiting toxicities (DLTs) in Phase 1|Objective response rate (ORR) per Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 in Phase 2|ORR per RECIST v1.1 in Phase 1|ORR per iRECIST in Phase 1|Duration of response (DOR) per RECIST v1.1 in Phase 1|DOR per iRECIST in Phase 1|Disease control rate (DCR) per RECIST v1.1 in Phase 1|DCR per iRECIST in Phase 1|ORR per iRECIST in Phase 2|DOR per RECIST v1.1 in Phase 2|DOR per iRECIST in Phase 2|DCR per RECIST v1.1 in Phase 2|DCR per iRECIST in Phase 2|Progression free survival (PFS) per RECIST v1.1 in Phase 2|PFS per iRECIST in Phase 2|Overall survival (OS) in Phase 2|Number of participants with AE in Phase 2","Bayer|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","164","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19781|2018-003704-39","March 10, 2020","April 30, 2023","July 30, 2023","June 24, 2019",,"June 3, 2020","Highlands Oncology Group, PA, Fayetteville, Arkansas, United States|Ccare San Marcos Cancer Center & Urology, San Marcos, California, United States|Cancer Treatment Centers of America, Atlanta, Newnan, Georgia, United States|Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|Regional Cancer Care Associates, LLC, Somerset, New Jersey, United States|Stony Brook University Medical Center, Stony Brook, New York, United States|Levine Cancer Institute, Charlotte, North Carolina, United States|Oncology/Hematology Care (OHC) Clinical Trials, LLC, Cincinnati, Ohio, United States|CTCA Southwestern, Tulsa, Oklahoma, United States|St. Luke's University Health Network System, Bethlehem, Pennsylvania, United States|UPMC Shadyside, Pittsburgh, Pennsylvania, United States|Carilion Clinic, Roanoke, Virginia, United States|UZ Brussel, Bruxelles - Brussel, Belgium|UZ Gent, Gent, Belgium|CHU de Liège, Liege, Belgium|CHU UCL Namur, Namur, Belgium|Universitätsklinikum der Johann Wolfgang Goethe Universität, Frankfurt, Hessen, Germany|Medizinische Einrichtungen der Universität Bonn, Bonn, Nordrhein-Westfalen, Germany|Klinikum der Stadt Köln gGmbH - Krankenhaus Merheim, Köln, Nordrhein-Westfalen, Germany|Krankenhaus Grosshansdorf, Grosshansdorf, Germany|Edith Wolfson Medical Center, Holon, Israel|Meir Medical Center, Kfar Saba, Israel|Tel-Aviv Sourasky Medical Center, Tel Aviv, Israel|A.O.U. di Parma, Parma, Emilia-Romagna, Italy|IRCCS Istituto Europeo di Oncologia (IEO), Milano, Lombardia, Italy|IRCCS Fondazione Policlinico San Matteo, Pavia, Lombardia, Italy|Nederlands Kanker Instituut, Amsterdam, Netherlands|Centrum Onkologii im. Prof. Franciszka Lukaszczyka, Bydgoszcz, Poland|Wojskowy Instytut Medyczny, Warszawa, Poland|Uniwersytecki Szpital Kliniczny UM we Wroclawiu, Wroclaw, Poland|Institut Català d'Oncologia Badalona, Badalona, Barcelona, Spain|Hospital Universitario Clinica Puerta de Hierro, Majadahonda, Madrid, Spain|Ciutat Sanitària i Universitaria de la Vall d'Hebron, Barcelona, Spain|Hospital Clínic i Provincial de Barcelona, Barcelona, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Royal Marsden NHS Trust (Surrey), Sutton, Surrey, United Kingdom|Freeman Hospital, Newcastle Upon Tyne, Tyne And Wear, United Kingdom|Leeds teaching Hospitals, Leeds, West Yorkshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03996473"
49,"NCT04317105","Testing the Addition of an Anti-cancer Drug, Copanlisib, to the Usual Immunotherapy (Nivolumab With or Without Ipilimumab) in Patients With Advanced Solid Cancers That Have Changes in the Following Genes: PIK3CA and PTEN",,"Not yet recruiting","No Results Available","Advanced Malignant Solid Neoplasm|Metastatic Malignant Solid Neoplasm|Unresectable Malignant Solid Neoplasm","Drug: Copanlisib Hydrochloride|Biological: Ipilimumab|Biological: Nivolumab","Incidence of adverse events and serious adverse events|Incidence of dose limiting toxicities (DLTs)|Objective response (OR) rate (complete response [CR] + partial response [PR])|Clinical benefit rate (OR + stable disease [SD] > 6 months)|Progression free survival (PFS)|Overall survival (OS)","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","102","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCI-2020-01917|NCI10221|10221|UM1CA186688","May 6, 2020","December 31, 2022","December 31, 2022","March 23, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04317105"
50,"NCT02808650","Prexasertib in Treating Pediatric Patients With Recurrent or Refractory Solid Tumors",,"Active, not recruiting","No Results Available","Childhood Solid Neoplasm|Recurrent Malignant Solid Neoplasm|Recurrent Primary Central Nervous System Neoplasm|Refractory Malignant Solid Neoplasm|Refractory Primary Central Nervous System Neoplasm","Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Drug: Prexasertib","Maximum tolerated dose (MTD) of prexasertib based on incidence of dose limiting toxicity assessed National Cancer Institute (NCI) CTCAE version 4.0|Incidence of adverse events (toxicities) according to NCI CTCAE version 4.0|Pharmacodynamic parameters of prexasertib|Antitumor activity of prexasertib|CHK1/2 expression status|TP53 deletion and/or mutation in tumor tissue as a potential biomarker of Chk1 inhibition|Pharmacodynamic markers of prexasertib","Children's Oncology Group|National Cancer Institute (NCI)","All","12 Months to 21 Years   (Child, Adult)","Phase 1","30","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ADVL1515|NCI-2016-00643|UM1CA097452","February 27, 2017","December 31, 2019","December 31, 2020","June 22, 2016",,"May 14, 2020","Children's Hospital of Alabama, Birmingham, Alabama, United States|Phoenix Childrens Hospital, Phoenix, Arizona, United States|Children's Hospital Los Angeles, Los Angeles, California, United States|Children's Hospital of Orange County, Orange, California, United States|UCSF Medical Center-Mission Bay, San Francisco, California, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Children's National Medical Center, Washington, District of Columbia, United States|Children's Healthcare of Atlanta - Egleston, Atlanta, Georgia, United States|Lurie Children's Hospital-Chicago, Chicago, Illinois, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|C S Mott Children's Hospital, Ann Arbor, Michigan, United States|University of Minnesota/Masonic Cancer Center, Minneapolis, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|NYP/Columbia University Medical Center/Herbert Irving Comprehensive Cancer Center, New York, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, United States|Baylor College of Medicine/Dan L Duncan Comprehensive Cancer Center, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT02808650"
51,"NCT03057145","Combination Study of Prexasertib and Olaparib in Patients With Advanced Solid Tumors",,"Active, not recruiting","No Results Available","Solid Tumor","Drug: Prexasertib|Drug: Olaparib","Maximum Tolerated Dose|Dose Limiting Toxicity as assessed by CTCAEv4.0|Pharmacokinetic Sampling - Peak Plasma Concentration (Cmax)|Pharmacokinetic Sampling - Area Under the Plasma Concentration versus Time Curve (AUC)|Anti-Tumor Effects Of The Combination Of Prexasertib And Olaparib by RECIST 1.1|Phospho-CDK Expression In Tumor Biopsies As A Marker Of Prexasertib Effect And Downstream Marker Of Target Engagement|RAD51 Focus Formation and γ-H2AX Expression in tumor biopsies Post-Olaparib And Post-Combination Treatment as a marker of DNA damage","Khanh Do|Eli Lilly and Company|AstraZeneca|Dana-Farber Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Phase 1","29","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-573","March 10, 2017","February 25, 2020","February 25, 2023","February 17, 2017",,"April 7, 2020","Dana Farber Cancer Institute, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03057145"
52,"NCT02812875","A Study of CA-170 (Oral PD-L1, PD-L2 and VISTA Checkpoint Antagonist) in Patients With Advanced Tumors and Lymphomas",,"Active, not recruiting","No Results Available","Advanced Solid Tumors or Lymphomas","Drug: CA-170","The number of patients with a dose-limiting toxicity (DLT) in the first treatment cycle|Maximum tolerated dose (MTD) of CA-170|Recommended Phase 2 Dose (RP2D) of CA-170|Pharmacokinetic (PK) Profile of CA-170|Preliminary Anti-tumor Activity of CA-170 based on RECIST and Immune Related Response Criterion (irRC) for Solid Tumors or Cheson for Lymphoma","Curis, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","300","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA-170-101","May 2016","January 2020","January 2020","June 24, 2016",,"May 6, 2019","University of California San Francisco, San Francisco, California, United States|Sarah Cannon Research Institute at HealthONE, Denver, Colorado, United States|Sarah Cannon Research Institute, Sarasota, Florida, United States|Northwestern University, Chicago, Illinois, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Icahn School of Medicine at Mt. Sinai, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Carolina BioOncology Institute, Huntersville, North Carolina, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Seoul National University Hospital, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Yonsei University Health System - Severance Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Hospital Clinic i Provincial, Barcelona, Spain|Catalan Institute of Oncology, Barcelona, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom|Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02812875"
53,"NCT04262466","Safety and Efficacy of IMC-F106C as a Single Agent and in Combination With Checkpoint Inhibitors",,"Recruiting","No Results Available","Select Advanced Solid Tumors","Drug: IMC-F106C|Drug: anti-PD(L)1","Phase 1: Incidence of Dose-limiting toxicity (DLT)s|Phase 1: incidence and severity of adverse events (AE) and serious adverse events (SAE)|Phase 1: changes in laboratory parameters|Phase 1: changes in vital signs|Phase 1: changes in electrocardiogram parameters|Phase 1: dose interruptions, reductions, and discontinuations|Phase 2: Best overall response (BOR)|Phase I: Best Overall Response (BOR)|Progression-free survival (PFS)|Duration of response (DOR)|Overall survival|Pharmacokinetics Area under the plasma concentration-time curve (AUC)|Pharmacokinetics The maximum observed plasma drug concentration (Cmax)|Pharmacokinetics The time to reach maximum plasma concentration (Tmax)|Pharmacokinetics The elimination half-life (t1/2)|Incidence of anti-IMC-F106C antibody formation|Changes in lymphocyte counts over time|Changes in serum cytokines over time","Immunocore Ltd","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","170","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IMC-F106C-101","February 25, 2020","February 2022","February 2024","February 10, 2020",,"April 21, 2020","University of Oklahoma Peggy and Charles Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04262466"
54,"NCT02797964","A Phase 1/2 Trial of SRA737 in Subjects With Advanced Cancer",,"Completed","No Results Available","Advanced Solid Tumors or Non-Hodgkin's Lymphoma (NHL)","Drug: SRA737","Number of subjects with adverse events as assessed by CTCAE 4.03|Maximum tolerated dose of SRA737|Recommended Phase 2 dose of SRA737|Objective response rate of SRA737","Sierra Oncology, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","112","Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SRA737-01","July 2016","October 28, 2019",,"June 14, 2016",,"December 11, 2019","Royal Marsden Hospital, Sutton, London, United Kingdom|Belfast City Hospital, Belfast, Northern Ireland, United Kingdom|Oxford University Hospitals, Headington, Oxford, United Kingdom|Velindre Cancer Centre - Cardiff, Cardiff, Whitchurch, United Kingdom|The Clatterbridge Cancer Centre, Bebington, Wirral, United Kingdom|Western General Hospital, Edinburgh, United Kingdom|The Beatson West of Scotland Cancer Centre, Glasgow, United Kingdom|The Leeds Teaching Hospitals of St James University Hospital, Leeds, United Kingdom|University Hospitals of Leicester, Leicester, United Kingdom|Guy's and St. Thomas, London, United Kingdom|Sarah Cannon Research Institute, London, United Kingdom|University College London Hospitals, London, United Kingdom|The Christie, Manchester, United Kingdom|Freeman Hospital, Newcastle upon Tyne, United Kingdom|Sheffield Teaching Hospitals, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02797964"
55,"NCT02439450","A Study of Combination Therapies With Viagenpumatucel-L (HS-110) in Patients With Non-Small Cell Lung Cancer",,"Active, not recruiting","No Results Available","Non-small Cell Lung Cancer","Biological: Viagenpumatucel-L|Drug: Nivolumab|Drug: Pembrolizumab|Drug: Pemetrexed","Phase 1b: Frequency of treatment emergent adverse events (TEAEs) as assessed by CTCAE v4.03.|Phase 2, Arm 5: Objective Response Rate (ORR)|Phase 2, Arm 6: Progression Free Survival (PFS)|Objective Response Rate (ORR)|Overall survival (OS)|Progression-Free survival (PFS)|Duration of response (DOR)|Disease control rate (DCR)|Durable Response Rate (DRR)|Frequency of treatment emergent adverse events (TEAEs) as assessed by CTCAE v4.03.","Heat Biologics","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","121","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HS110-102","April 15, 2015","December 2020","December 2021","May 8, 2015",,"April 27, 2020","University of Arizona Cancer Center, Tucson, Arizona, United States|UC San Diego, La Jolla, California, United States|BRRH Lynn Cancer Institute, Boca Raton, Florida, United States|Memorial Cancer Institute, Pembroke Pines, Florida, United States|Horizon Oncology Research, Lafayette, Indiana, United States|Ashland-Bellefonte Cancer Center, Ashland, Kentucky, United States|Baptist Health Louisville, Louisville, Kentucky, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|New York Oncology Hematology, Albany, New York, United States|Winthrop Hospital, Mineola, New York, United States|Oncology Hematology Care, Inc., Cincinnati, Ohio, United States|Cleveland Clinic, Cleveland, Ohio, United States|Providence Portland Medical Center, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT02439450"
